TRANSACTIONID;ACCOUNTID;ACCOUNTTYPEID;CUSTOMERID;CUSTOMERTYPEID;PRODUCTID;PRODUCTCATEGORYID;PROFITCENTERID;VERSION;DATE;VALUE
32257;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200101;30739,24
32258;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200201;38901,05
32259;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200301;60206,52
32260;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200401;211209,5
32261;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200501;147243,2
32262;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200601;63793,89
32263;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20180401;9350,99
32264;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20180501;10519,87
32265;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20180601;3005,68
32266;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20180701;5009,46
32267;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20180801;3172,66
32268;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20180901;4174,55
32269;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20181001;1836,8
32270;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20181101;11020,81
32271;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20181201;6679,28
32272;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190101;8850,05
32273;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190201;13191,58
32274;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190301;10289,3
32275;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190401;10452,2
32276;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190501;11758,72
32277;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190601;3359,63
32278;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190701;5599,39
32279;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190801;3546,28
32280;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190901;4666,16
32281;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20191001;2053,11
32282;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20191101;12318,66
32283;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20191201;7465,85
32284;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200101;9892,26
32285;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200201;14745,06
32286;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200301;11501
32287;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200401;15526,55
32288;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200501;7856,8
32289;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200601;10849,88
32290;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20180401;519,11
32291;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20180501;755,06
32292;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20180601;1321,35
32293;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20180701;1156,2
32294;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20180801;1085,4
32295;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20180901;566,29
32296;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20181001;141,57
32297;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20181101;448,31
32298;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20181201;330,33
32299;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190101;731,46
32300;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190201;188,76
32301;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190301;802,26
32302;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190401;580,24
32303;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190501;843,98
32304;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190601;1476,96
32305;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190701;1292,36
32306;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190801;1213,23
32307;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190901;632,97
32308;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20191001;158,24
32309;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20191101;501,1
32310;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20191201;369,24
32311;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200101;817,6
32312;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200201;210,99
32313;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200301;896,74
32314;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200401;1029,62
32315;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200501;1544,43
32316;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200601;2574,03
32317;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20180401;7007,44
32318;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20180501;19340,54
32319;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20180601;13454,28
32320;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20180701;22704,11
32321;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20180801;6306,69
32322;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20180901;34616,75
32323;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20181001;11492,2
32324;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20181101;15556,52
32325;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20181201;14715,61
32326;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190101;17098,15
32327;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190201;12753,54
32328;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190301;9076,79
32329;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190401;7832,66
32330;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190501;21618,14
32331;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190601;15038,7
32332;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190701;25377,82
32333;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190801;7049,39
32334;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190901;38693,34
32335;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20191001;12845,55
32336;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20191101;17388,51
32337;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20191201;16448,57
32338;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200101;19111,68
32339;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200201;14255,44
32340;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200301;10145,71
32341;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200401;11069,97
32342;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200501;13222,46
32343;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200601;19679,92
32344;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20180401;6394,13
32345;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20180501;21380,38
32346;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20180601;5195,24
32347;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20180701;7193,4
32348;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20180801;11789,19
32349;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20180901;44159,47
32350;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20181001;26375,8
32351;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20181101;6394,14
32352;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20181201;7593,03
32353;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190101;26175,98
32354;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190201;24177,81
32355;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190301;12774,68
32356;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190401;7147,13
32357;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190501;23898,21
32358;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190601;5807,04
32359;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190701;8040,52
32360;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190801;13177,52
32361;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190901;49359,84
32362;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20191001;29481,91
32363;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20191101;7147,14
32364;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20191201;8487,21
32365;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200101;29258,55
32366;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200201;27025,07
32367;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200301;14279,07
32368;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200401;32850
32369;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200501;24750
32370;FPA1/020;EXP;USCU_S14;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200601;24525
32371;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20180401;926,75
32372;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20180501;648,73
32373;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20180601;3915,55
32374;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20180701;2502,24
32375;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20180801;1575,49
32376;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20180901;2872,94
32377;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20181001;509,71
32378;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20181101;1274,28
32379;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20181201;949,92
32380;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190101;208,51
32381;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190201;949,92
32382;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190301;1946,19
32383;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190401;1035,89
32384;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190501;725,12
32385;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190601;4376,66
32386;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190701;2796,91
32387;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190801;1761,02
32388;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190901;3211,26
32389;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20191001;569,74
32390;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20191101;1424,35
32391;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20191201;1061,78
32392;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200101;233,07
32393;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200201;1061,78
32394;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200301;2175,38
32395;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200401;1684,98
32396;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200501;2948,74
32397;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200601;3369,98
32398;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20180401;12618,48
32399;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20180501;9522,64
32400;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20180601;17125,08
32401;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20180701;9757,77
32402;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20180801;16145,38
32403;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20180901;9640,21
32404;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20181001;16262,96
32405;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20181101;7249,75
32406;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20181201;7092,99
32407;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190101;7524,07
32408;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190201;9130,76
32409;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190301;10267,21
32410;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190401;14104,47
32411;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190501;10644,06
32412;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190601;19141,78
32413;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190701;10906,87
32414;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190801;18046,71
32415;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190901;10775,47
32416;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20191001;18178,14
32417;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20191101;8103,51
32418;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20191201;7928,29
32419;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200101;8410,13
32420;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200201;10206,03
32421;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200301;11476,32
32422;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200401;23797,41
32423;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200501;19237,42
32424;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200601;19522,42
32425;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20180401;16045,97
32426;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20180501;7677,7
32427;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20180601;6012,16
32428;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20180701;8855,76
32429;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20180801;5240,34
32430;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20180901;7149,61
32431;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20181001;2031,14
32432;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20181101;24942,34
32433;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20181201;18970,8
32434;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190101;8287,04
32435;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190201;10927,51
32436;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190301;15314,76
32437;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190401;17935,6
32438;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190501;8581,85
32439;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190601;6720,17
32440;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190701;9898,64
32441;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190801;5857,46
32442;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190901;7991,57
32443;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20191001;2270,33
32444;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20191101;27879,64
32445;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20191201;21204,87
32446;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200101;9262,95
32447;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200201;12214,37
32448;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200301;17118,27
32449;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200401;24742,62
32450;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200501;15288,73
32451;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200601;6425,7
32452;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20180401;829,26
32453;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20180501;829,26
32454;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20180601;1884,69
32455;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20180701;1733,9
32456;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20180801;1432,36
32457;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20180901;1507,75
32458;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20181001;490,02
32459;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20181101;980,03
32460;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20181201;339,24
32461;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190101;866,96
32462;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190201;452,33
32463;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190301;490,02
32464;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190401;926,92
32465;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190501;926,92
32466;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190601;2106,64
32467;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190701;1938,09
32468;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190801;1601,04
32469;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190901;1685,31
32470;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20191001;547,72
32471;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20191101;1095,45
32472;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20191201;379,19
32473;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200101;969,05
32474;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200201;505,6
32475;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200301;547,73
32476;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200401;1918,92
32477;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200501;1987,46
32478;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200601;4180,51
32479;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20180401;47794,26
32480;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20180501;80131,26
32481;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20180601;45044,19
32482;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20180701;39544,07
32483;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20180801;30630,06
32484;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20180901;38500,93
32485;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20181001;49785,69
32486;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20181101;43052,77
32487;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20181201;33569,79
32488;FPA1/020;EXP;USCU_S15;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20190101;11758,91
