po_id,supplier_id,po_date,expected_delivery_date,actual_delivery_date,po_status,total_amount
PO0000761,SUP0009,2025-06-04,2025-06-22,2025-06-17,Completed,13524.06
PO0000762,SUP0072,2025-06-28,2025-07-13,2025-07-09,Completed,91949.75
PO0000763,SUP0009,2025-09-20,2025-10-18,2025-10-21,Completed,21790.15
PO0000764,SUP0066,2025-11-16,2025-12-21,2025-12-18,Completed,19340.3
PO0000765,SUP0089,2025-08-15,2025-09-05,2025-09-16,Delayed,6223.92
PO0000766,SUP0046,2026-03-15,2026-04-01,2026-04-02,Completed,1907.37
PO0000767,SUP0039,2025-01-26,2025-02-21,2025-02-22,Completed,62653.42
PO0000768,SUP0080,2025-02-27,2025-03-15,2025-03-25,Delayed,48508.18
PO0000769,SUP0077,2025-02-04,2025-02-18,2025-02-17,Completed,6347.05
PO0000770,SUP0029,2025-12-07,2025-12-21,2025-12-27,Completed,4024.85
PO0000771,SUP0022,2025-08-21,2025-09-19,2025-09-26,Delayed,7363.68
PO0000772,SUP0061,2026-05-23,2026-06-04,2026-06-08,Completed,1093.35
PO0000773,SUP0029,2025-08-02,2025-08-24,2025-09-07,Delayed,18754.18
PO0000774,SUP0076,2025-04-23,2025-05-18,2025-05-21,Completed,2393.2
PO0000775,SUP0057,2025-09-16,2025-10-15,2025-10-14,Completed,51125.92
PO0000776,SUP0094,2025-04-09,2025-05-08,2025-05-03,Completed,6088.53
PO0000777,SUP0076,2026-03-23,2026-04-03,2026-04-05,Completed,3392.61
PO0000778,SUP0048,2026-02-20,2026-03-16,2026-03-13,Completed,952.08
PO0000779,SUP0008,2025-10-24,2025-11-18,2025-11-19,Completed,4990.01
PO0000780,SUP0043,2025-04-11,2025-04-25,2025-04-28,Completed,6713.04
PO0000781,SUP0007,2025-07-08,2025-08-13,,In Progress,5403.92
PO0000782,SUP0083,2026-03-07,2026-04-06,,Cancelled,4614.33
PO0000783,SUP0011,2026-02-15,2026-02-28,2026-03-20,Delayed,9964.26
PO0000784,SUP0040,2025-03-05,2025-03-31,2025-04-04,Delayed,15962.7
PO0000785,SUP0031,2025-04-04,2025-05-09,2025-05-07,Completed,44638.72
PO0000786,SUP0020,2025-03-17,2025-04-03,2025-03-30,Completed,7646.67
PO0000787,SUP0036,2025-02-23,2025-03-11,,In Progress,32126.26
PO0000788,SUP0079,2025-06-12,2025-07-01,2025-07-03,Completed,11027.22
PO0000789,SUP0002,2025-08-23,2025-09-27,2025-10-16,Delayed,8964.12
PO0000790,SUP0098,2025-07-27,2025-08-07,2025-08-09,Completed,24112.48
PO0000791,SUP0073,2025-08-24,2025-09-24,2025-09-26,Completed,70328.1
PO0000792,SUP0048,2025-12-21,2026-01-25,2026-01-21,Completed,47848.71
PO0000793,SUP0080,2025-01-19,2025-02-02,2025-02-05,Completed,56746.7
PO0000794,SUP0021,2026-02-23,2026-03-30,2026-04-13,Delayed,19575.21
PO0000795,SUP0010,2026-04-02,2026-04-10,,Pending Approval,5270.18
PO0000796,SUP0033,2025-06-09,2025-06-25,,In Progress,586.1
PO0000797,SUP0077,2025-03-21,2025-04-23,2025-04-23,Completed,26495.42
PO0000798,SUP0083,2026-01-15,2026-02-17,2026-02-17,Completed,567.69
PO0000799,SUP0075,2026-05-07,2026-06-07,2026-06-03,Completed,5658.0
PO0000800,SUP0039,2026-01-18,2026-02-04,2026-02-02,Completed,18555.38
PO0000801,SUP0023,2026-03-02,2026-03-30,2026-04-01,Completed,36617.54
PO0000802,SUP0012,2025-07-25,2025-08-21,2025-09-06,Delayed,26000.5
PO0000803,SUP0030,2025-11-27,2025-12-17,2025-12-17,Completed,19261.51
PO0000804,SUP0018,2025-07-25,2025-08-16,2025-08-16,Completed,3079.23
PO0000805,SUP0028,2025-06-20,2025-07-18,2025-07-18,Completed,92083.72
PO0000806,SUP0071,2025-08-26,2025-09-19,2025-09-14,Completed,71526.26
PO0000807,SUP0055,2025-08-11,2025-08-26,2025-09-01,Delayed,30886.4
PO0000808,SUP0088,2025-06-17,2025-07-08,,Cancelled,1788.49
PO0000809,SUP0059,2025-05-19,2025-05-28,2025-06-08,Delayed,1068.49
PO0000810,SUP0098,2025-12-15,2026-01-19,,Cancelled,5394.88
PO0000811,SUP0062,2025-09-26,2025-10-23,2025-10-30,Completed,111032.67
PO0000812,SUP0020,2026-05-20,2026-06-23,2026-06-24,Completed,43477.65
PO0000813,SUP0056,2025-01-14,2025-02-14,2025-02-19,Completed,102568.65
PO0000814,SUP0054,2025-11-01,2025-11-21,,Cancelled,21271.76
PO0000815,SUP0099,2025-05-11,2025-06-07,2025-06-07,Completed,29610.83
PO0000816,SUP0042,2025-07-20,2025-08-15,2025-08-15,Completed,16158.66
PO0000817,SUP0090,2025-02-02,2025-03-02,2025-03-05,Completed,10353.36
PO0000818,SUP0014,2025-06-08,2025-07-20,2025-07-26,Delayed,11494.08
PO0000819,SUP0079,2026-03-30,2026-04-21,2026-04-18,Completed,3530.22
PO0000820,SUP0051,2025-03-09,2025-03-29,2025-04-01,Completed,31399.35
PO0000821,SUP0010,2025-08-09,2025-09-02,2025-08-28,Completed,6617.39
PO0000822,SUP0065,2025-03-12,2025-04-10,2025-04-09,Completed,24457.63
PO0000823,SUP0086,2025-07-30,2025-08-19,2025-08-19,Completed,43876.63
PO0000824,SUP0002,2025-03-23,2025-04-08,,In Progress,10429.45
PO0000825,SUP0064,2025-03-01,2025-03-23,2025-03-25,Completed,841.84
PO0000826,SUP0041,2026-05-18,2026-06-30,2026-06-30,Delayed,49542.62
PO0000827,SUP0100,2025-06-24,2025-08-04,2025-07-30,Completed,16470.0
PO0000828,SUP0040,2025-10-27,2025-11-20,2025-11-23,Completed,19621.55
PO0000829,SUP0063,2026-03-16,2026-04-19,2026-04-18,Completed,9911.38
PO0000830,SUP0026,2026-05-02,2026-05-21,2026-05-26,Completed,23722.87
PO0000831,SUP0062,2025-04-25,2025-05-31,2025-05-29,Completed,36445.2
PO0000832,SUP0015,2026-01-15,2026-02-13,,Pending Approval,4185.0
PO0000833,SUP0014,2025-05-18,2025-06-14,2025-06-14,Completed,72900.66
PO0000834,SUP0023,2025-10-08,2025-11-10,2025-11-11,Completed,73117.33
PO0000835,SUP0044,2025-01-25,2025-02-07,2025-02-26,Delayed,963.79
PO0000836,SUP0002,2025-10-16,2025-10-26,2025-11-10,Delayed,4180.84
PO0000837,SUP0047,2025-07-12,2025-08-16,2025-08-14,Completed,849258.84
PO0000838,SUP0094,2025-03-30,2025-04-30,2025-05-01,Completed,15258.9
PO0000839,SUP0090,2026-05-01,2026-06-18,2026-06-17,Completed,4048.98
PO0000840,SUP0090,2026-01-12,2026-02-11,2026-02-14,Completed,26063.21
PO0000841,SUP0011,2026-02-03,2026-02-27,2026-03-07,Delayed,885.08
PO0000842,SUP0090,2025-10-09,2025-11-05,,Cancelled,685.3
PO0000843,SUP0090,2025-12-21,2026-01-11,2026-01-10,Completed,25153.6
PO0000844,SUP0038,2026-01-22,2026-02-15,2026-02-17,Completed,3826.48
PO0000845,SUP0067,2025-11-04,2025-12-09,,Cancelled,69736.71
PO0000846,SUP0085,2025-01-13,2025-01-25,2025-01-28,Completed,31201.51
PO0000847,SUP0042,2026-04-19,2026-05-18,2026-05-21,Completed,19946.52
PO0000848,SUP0067,2026-02-20,2026-03-07,2026-03-13,Delayed,64528.18
PO0000849,SUP0081,2026-05-20,2026-06-03,2026-06-03,Completed,17905.73
PO0000850,SUP0055,2025-08-31,2025-09-17,2025-09-26,Delayed,16452.52
PO0000851,SUP0035,2025-11-06,2025-11-27,,In Progress,6729.64
PO0000852,SUP0051,2025-10-13,2025-11-05,,In Progress,9643.7
PO0000853,SUP0008,2025-08-14,2025-09-24,2025-10-12,Delayed,16112.58
PO0000854,SUP0033,2025-04-10,2025-05-13,2025-05-24,Delayed,5295.51
PO0000855,SUP0011,2025-02-20,2025-03-20,2025-03-15,Completed,1170.9
PO0000856,SUP0005,2025-09-19,2025-11-01,2025-10-27,Completed,3654.13
PO0000857,SUP0089,2025-02-15,2025-03-06,2025-03-21,Delayed,5845.11
PO0000858,SUP0007,2026-03-05,2026-04-05,,In Progress,20315.92
PO0000859,SUP0089,2025-03-09,2025-04-26,2025-04-28,Completed,4096.29
PO0000860,SUP0080,2025-11-10,2025-11-30,2025-11-27,Completed,5429.1
PO0000861,SUP0074,2026-03-12,2026-04-23,,In Progress,7174.67
PO0000862,SUP0066,2026-04-08,2026-04-28,,In Progress,36094.79
PO0000863,SUP0091,2025-03-15,2025-04-27,2025-04-29,Completed,83413.96
PO0000864,SUP0058,2025-09-12,2025-10-09,2025-10-11,Completed,5870.25
PO0000865,SUP0051,2025-03-24,2025-04-29,2025-05-01,Completed,3513.93
PO0000866,SUP0056,2025-05-25,2025-05-31,2025-06-04,Completed,10437.0
PO0000867,SUP0084,2026-04-26,2026-05-01,2026-05-01,Completed,42100.89
PO0000868,SUP0069,2026-05-08,2026-05-23,2026-05-21,Completed,20856.24
PO0000869,SUP0012,2025-07-16,2025-08-03,,Pending Approval,2302.17
PO0000870,SUP0025,2026-01-02,2026-01-22,,In Progress,17723.8
PO0000871,SUP0075,2025-12-21,2026-01-16,2026-01-27,Delayed,804.08
PO0000872,SUP0015,2025-09-25,2025-10-14,,Cancelled,8359.46
PO0000873,SUP0055,2025-11-09,2025-12-08,,Cancelled,52716.14
PO0000874,SUP0007,2025-09-23,2025-10-13,,Pending Approval,6092.46
PO0000875,SUP0028,2025-02-14,2025-02-19,2025-03-09,Delayed,6709.32
PO0000876,SUP0017,2026-02-28,2026-03-09,,Cancelled,5722.29
PO0000877,SUP0035,2025-10-06,2025-10-22,2025-10-20,Completed,8941.89
PO0000878,SUP0052,2025-01-13,2025-01-28,2025-02-16,Delayed,1375.53
PO0000879,SUP0013,2026-03-26,2026-04-14,2026-04-15,Completed,111114.86
PO0000880,SUP0086,2026-04-14,2026-05-08,2026-05-18,Delayed,662.2
PO0000881,SUP0010,2025-06-17,2025-07-23,2025-07-22,Completed,1080.72
PO0000882,SUP0068,2025-11-10,2025-11-23,2025-11-23,Completed,47151.3
PO0000883,SUP0062,2026-01-01,2026-01-25,2026-02-02,Delayed,63758.71
PO0000884,SUP0036,2025-04-29,2025-06-02,2025-06-01,Completed,35224.04
PO0000885,SUP0054,2025-02-18,2025-03-26,,Pending Approval,32243.08
PO0000886,SUP0045,2025-05-03,2025-05-14,2025-05-13,Completed,3342.4
PO0000887,SUP0099,2025-11-04,2025-11-30,2025-12-09,Completed,16881.97
PO0000888,SUP0001,2025-08-23,2025-09-25,2025-09-20,Completed,9096.15
PO0000889,SUP0040,2025-08-09,2025-09-09,2025-09-15,Completed,42148.65
PO0000890,SUP0060,2026-03-28,2026-04-16,2026-04-17,Completed,49868.63
PO0000891,SUP0062,2026-02-01,2026-03-20,2026-03-27,Completed,87506.1
PO0000892,SUP0024,2025-02-03,2025-02-21,2025-02-19,Completed,29858.01
PO0000893,SUP0060,2025-01-08,2025-02-17,2025-02-21,Completed,3748.55
PO0000894,SUP0051,2025-11-18,2025-12-01,2025-12-05,Delayed,23754.64
PO0000895,SUP0068,2025-03-05,2025-04-05,2025-04-11,Completed,45543.43
PO0000896,SUP0071,2025-05-18,2025-07-08,2025-07-05,Completed,3944.46
PO0000897,SUP0095,2026-01-22,2026-02-09,2026-02-16,Completed,30882.07
PO0000898,SUP0013,2025-08-21,2025-09-04,2025-09-04,Completed,19469.42
PO0000899,SUP0012,2025-10-05,2025-10-28,2025-10-26,Completed,20159.37
PO0000900,SUP0088,2026-05-28,2026-06-14,2026-06-11,Completed,30604.5
PO0000901,SUP0086,2025-07-29,2025-08-20,2025-08-23,Delayed,5101.04
PO0000902,SUP0074,2025-10-08,2025-10-28,2025-11-03,Delayed,17968.4
PO0000903,SUP0092,2025-11-10,2025-11-27,2025-11-22,Completed,41662.48
PO0000904,SUP0035,2025-05-06,2025-06-17,2025-06-19,Completed,44795.89
PO0000905,SUP0004,2025-10-28,2025-11-25,2025-11-28,Completed,3905.94
PO0000906,SUP0043,2025-09-13,2025-09-28,2025-10-18,Delayed,1767.32
PO0000907,SUP0003,2025-05-22,2025-06-16,2025-06-22,Completed,7551.98
PO0000908,SUP0092,2025-11-26,2026-01-04,2026-01-17,Delayed,3163.86
PO0000909,SUP0014,2026-01-24,2026-02-15,2026-02-18,Completed,4511.22
PO0000910,SUP0051,2026-04-19,2026-05-13,,Cancelled,6825.62
PO0000911,SUP0061,2025-12-27,2026-01-26,2026-01-26,Completed,41393.77
PO0000912,SUP0009,2026-02-18,2026-02-23,2026-03-01,Completed,10333.02
PO0000913,SUP0023,2026-01-16,2026-02-16,,In Progress,5188.0
PO0000914,SUP0011,2026-01-10,2026-01-28,,Pending Approval,16193.61
PO0000915,SUP0091,2026-04-15,2026-05-07,2026-05-07,Completed,2847.31
PO0000916,SUP0047,2025-09-03,2025-10-07,2025-10-11,Completed,11842.3
PO0000917,SUP0009,2025-12-08,2026-01-13,,In Progress,277.3
PO0000918,SUP0023,2025-04-05,2025-05-08,2025-05-04,Completed,93887.68
PO0000919,SUP0068,2026-04-25,2026-05-27,2026-05-28,Completed,73652.23
PO0000920,SUP0051,2025-12-15,2026-01-07,,In Progress,37167.94
PO0000921,SUP0018,2026-04-07,2026-05-01,2026-05-04,Completed,2267.43
PO0000922,SUP0071,2025-10-14,2025-11-16,2025-11-16,Completed,20327.72
PO0000923,SUP0035,2025-11-01,2025-11-06,2025-11-01,Completed,3045.38
PO0000924,SUP0087,2025-04-07,2025-04-17,2025-04-17,Completed,831.71
PO0000925,SUP0006,2025-11-01,2025-11-30,2025-12-02,Completed,3477.3
PO0000926,SUP0090,2026-05-19,2026-06-27,2026-06-28,Completed,9695.0
PO0000927,SUP0072,2025-12-07,2025-12-16,2025-12-21,Completed,2926.11
PO0000928,SUP0062,2025-01-09,2025-02-24,2025-02-28,Completed,88656.5
PO0000929,SUP0035,2025-05-19,2025-06-20,2025-07-07,Delayed,6598.2
PO0000930,SUP0054,2026-01-31,2026-03-13,2026-03-11,Completed,4605.12
PO0000931,SUP0020,2025-07-01,2025-08-05,,In Progress,551.67
PO0000932,SUP0025,2025-05-23,2025-06-19,,Pending Approval,14195.93
PO0000933,SUP0097,2025-05-24,2025-06-16,2025-07-03,Delayed,292.86
PO0000934,SUP0037,2025-07-28,2025-08-02,,In Progress,15239.68
PO0000935,SUP0067,2026-05-02,2026-05-15,2026-05-17,Completed,16385.72
PO0000936,SUP0074,2025-12-01,2026-01-04,2026-01-04,Completed,7575.19
PO0000937,SUP0087,2025-08-25,2025-09-25,2025-10-12,Delayed,5057.23
PO0000938,SUP0034,2025-06-08,2025-06-30,2025-06-30,Completed,6338.0
PO0000939,SUP0047,2026-05-09,2026-05-27,2026-06-15,Delayed,8225.11
PO0000940,SUP0054,2026-03-24,2026-04-17,,In Progress,979.26
PO0000941,SUP0059,2025-09-24,2025-10-25,2025-10-27,Completed,1028.2
PO0000942,SUP0035,2025-09-18,2025-10-18,2025-10-17,Completed,20300.55
PO0000943,SUP0100,2026-03-21,2026-04-10,2026-04-10,Completed,16860.79
PO0000944,SUP0003,2026-04-06,2026-04-24,2026-04-22,Completed,4430.89
PO0000945,SUP0100,2025-08-13,2025-09-09,2025-09-07,Completed,33359.4
PO0000946,SUP0100,2025-12-31,2026-01-23,2026-01-20,Completed,2467.35
PO0000947,SUP0054,2026-02-08,2026-03-10,2026-03-10,Completed,3638.7
PO0000948,SUP0071,2026-03-01,2026-03-30,2026-04-06,Delayed,7155.1
PO0000949,SUP0040,2025-09-11,2025-09-30,2025-10-04,Completed,1128.45
PO0000950,SUP0005,2025-09-04,2025-10-02,2025-10-03,Completed,9109.98
PO0000951,SUP0064,2025-07-22,2025-08-23,2025-09-07,Delayed,2982.21
PO0000952,SUP0029,2026-04-14,2026-05-30,,In Progress,132594.54
PO0000953,SUP0099,2025-12-31,2026-01-05,2026-01-05,Completed,19525.86
PO0000954,SUP0095,2025-03-22,2025-04-12,2025-04-09,Completed,16634.52
PO0000955,SUP0069,2025-01-17,2025-01-25,2025-02-02,Completed,3996.49
PO0000956,SUP0100,2026-02-18,2026-03-15,2026-04-04,Delayed,6544.72
PO0000957,SUP0050,2025-04-16,2025-05-25,,Cancelled,6343.02
PO0000958,SUP0001,2026-05-28,2026-06-30,2026-06-27,Completed,16630.14
PO0000959,SUP0065,2025-04-09,2025-05-06,2025-05-07,Completed,8094.47
PO0000960,SUP0039,2026-03-20,2026-04-18,,In Progress,5958.09
PO0000961,SUP0082,2025-11-03,2025-12-05,2025-11-30,Completed,32452.53
PO0000962,SUP0013,2025-09-19,2025-10-24,2025-10-26,Completed,8496.07
PO0000963,SUP0087,2025-04-04,2025-04-27,2025-05-02,Completed,62013.2
PO0000964,SUP0014,2025-10-13,2025-11-15,2025-11-15,Completed,18684.97
PO0000965,SUP0027,2025-10-31,2025-12-07,2025-12-27,Delayed,716.96
PO0000966,SUP0071,2025-05-22,2025-06-17,2025-06-21,Completed,18607.19
PO0000967,SUP0033,2026-03-31,2026-05-04,2026-04-29,Completed,7537.15
PO0000968,SUP0088,2025-05-31,2025-07-13,2025-07-16,Completed,43528.6
PO0000969,SUP0012,2025-05-21,2025-06-22,,In Progress,100098.02
PO0000970,SUP0017,2025-09-10,2025-09-30,2025-10-04,Completed,2260.56
PO0000971,SUP0083,2025-08-16,2025-08-21,2025-08-26,Delayed,3836.05
PO0000972,SUP0032,2025-03-12,2025-04-04,,In Progress,17354.88
PO0000973,SUP0095,2025-01-14,2025-02-06,,In Progress,16727.67
PO0000974,SUP0026,2026-02-20,2026-03-25,2026-03-21,Completed,34614.81
PO0000975,SUP0051,2025-01-26,2025-02-20,,In Progress,3202.2
PO0000976,SUP0054,2026-03-27,2026-04-21,,In Progress,27551.14
PO0000977,SUP0073,2025-04-03,2025-04-24,2025-04-21,Completed,54809.59
PO0000978,SUP0033,2025-09-26,2025-10-23,2025-10-19,Completed,30249.1
PO0000979,SUP0090,2025-02-04,2025-02-26,,In Progress,12023.15
PO0000980,SUP0003,2025-11-09,2025-11-14,2025-11-10,Completed,1141.44
PO0000981,SUP0096,2026-02-26,2026-03-16,,In Progress,2253.6
PO0000982,SUP0019,2025-07-30,2025-08-31,2025-08-29,Completed,86633.6
PO0000983,SUP0020,2025-10-19,2025-11-03,,In Progress,22646.11
PO0000984,SUP0014,2026-04-03,2026-04-24,2026-04-27,Completed,54185.19
PO0000985,SUP0035,2025-06-22,2025-08-02,2025-08-03,Completed,9746.49
PO0000986,SUP0033,2025-08-28,2025-09-08,,In Progress,12778.59
PO0000987,SUP0096,2025-05-13,2025-05-24,2025-05-23,Completed,3185.28
PO0000988,SUP0067,2025-06-15,2025-06-20,,In Progress,1318.14
PO0000989,SUP0068,2025-07-14,2025-08-09,2025-08-11,Completed,48645.1
PO0000990,SUP0075,2025-10-15,2025-10-20,2025-10-31,Delayed,3558.0
PO0000991,SUP0023,2026-04-10,2026-04-30,2026-04-30,Completed,85056.82
PO0000992,SUP0057,2025-07-30,2025-09-01,,In Progress,1965.8
PO0000993,SUP0073,2025-09-26,2025-10-26,2025-10-23,Completed,10743.92
PO0000994,SUP0011,2026-01-12,2026-02-21,2026-02-17,Completed,3363.66
PO0000995,SUP0041,2025-10-03,2025-10-31,2025-11-13,Delayed,114284.15
PO0000996,SUP0011,2025-03-20,2025-04-14,2025-04-16,Completed,23298.01
PO0000997,SUP0032,2025-01-20,2025-02-17,2025-02-22,Completed,25194.12
PO0000998,SUP0010,2026-03-27,2026-04-16,2026-04-12,Completed,8347.84
PO0000999,SUP0033,2025-08-31,2025-10-12,2025-10-14,Completed,4500.4
PO0001000,SUP0096,2026-01-20,2026-02-02,2026-02-14,Delayed,8203.76
PO0001001,SUP0069,2026-01-12,2026-01-17,2026-01-20,Completed,3643.46
PO0001002,SUP0045,2025-09-28,2025-10-17,2025-10-26,Completed,2756.32
PO0001003,SUP0040,2025-06-02,2025-07-03,2025-07-03,Completed,39883.22
PO0001004,SUP0088,2025-06-01,2025-07-06,2025-07-12,Completed,495.21
PO0001005,SUP0048,2025-10-24,2025-11-05,2025-11-01,Completed,11686.92
PO0001006,SUP0022,2025-06-24,2025-07-13,2025-07-15,Completed,382756.76
PO0001007,SUP0035,2025-12-17,2025-12-30,,Cancelled,12916.84
PO0001008,SUP0030,2026-01-05,2026-01-30,2026-01-25,Completed,15810.64
PO0001009,SUP0039,2025-02-17,2025-03-16,2025-03-19,Delayed,45611.57
PO0001010,SUP0061,2025-06-10,2025-07-08,2025-07-05,Completed,157.95
PO0001011,SUP0055,2025-12-02,2025-12-26,2025-12-28,Completed,37668.48
PO0001012,SUP0066,2025-06-05,2025-06-20,2025-06-22,Completed,7503.44
PO0001013,SUP0045,2025-03-27,2025-05-05,2025-05-10,Completed,2546.3
PO0001014,SUP0087,2025-03-11,2025-03-25,2025-04-14,Delayed,61022.66
PO0001015,SUP0051,2026-01-01,2026-01-26,2026-01-30,Delayed,5947.2
PO0001016,SUP0100,2025-02-04,2025-02-24,2025-02-24,Completed,10321.68
PO0001017,SUP0028,2026-02-08,2026-03-14,2026-03-09,Completed,16962.6
PO0001018,SUP0013,2025-06-01,2025-06-18,2025-06-16,Completed,135604.46
PO0001019,SUP0095,2025-01-26,2025-02-27,2025-03-07,Completed,46874.92
PO0001020,SUP0090,2025-11-27,2025-12-27,2025-12-31,Completed,40744.22
PO0001021,SUP0085,2025-03-06,2025-04-05,2025-04-09,Completed,5367.6
PO0001022,SUP0055,2025-05-29,2025-06-22,2025-07-01,Delayed,74989.95
PO0001023,SUP0024,2025-12-06,2026-01-02,,In Progress,250414.82
PO0001024,SUP0008,2026-05-09,2026-06-19,2026-06-30,Delayed,21988.68
PO0001025,SUP0044,2025-01-29,2025-03-08,2025-03-14,Completed,3790.21
PO0001026,SUP0077,2025-10-27,2025-11-19,2025-11-17,Completed,35676.65
PO0001027,SUP0005,2026-01-07,2026-02-04,2026-01-30,Completed,564.72
PO0001028,SUP0068,2026-01-13,2026-01-18,2026-01-20,Completed,23887.56
PO0001029,SUP0016,2025-11-30,2026-01-01,2026-01-01,Completed,58108.0
PO0001030,SUP0093,2025-03-28,2025-04-04,2025-04-12,Delayed,15762.04
PO0001031,SUP0010,2025-12-01,2026-01-12,2026-01-08,Completed,30606.48
PO0001032,SUP0044,2025-06-26,2025-07-31,2025-08-18,Delayed,759.12
PO0001033,SUP0056,2025-04-14,2025-05-09,,In Progress,165476.63
PO0001034,SUP0098,2025-07-26,2025-08-18,2025-08-23,Completed,7308.84
PO0001035,SUP0062,2026-05-14,2026-06-10,2026-06-17,Completed,135637.97
PO0001036,SUP0047,2025-05-01,2025-05-06,2025-05-06,Completed,278978.1
PO0001037,SUP0082,2025-10-01,2025-10-29,2025-10-29,Completed,10734.48
PO0001038,SUP0083,2025-03-24,2025-05-03,2025-05-17,Delayed,1201.2
PO0001039,SUP0043,2025-05-11,2025-06-16,2025-06-16,Completed,2556.62
PO0001040,SUP0081,2025-09-05,2025-09-19,2025-10-07,Delayed,57704.79
PO0001041,SUP0001,2025-03-26,2025-04-26,2025-05-15,Delayed,10808.06
PO0001042,SUP0090,2025-09-26,2025-10-20,,Cancelled,105004.91
PO0001043,SUP0068,2026-04-30,2026-05-12,2026-05-07,Completed,4822.56
PO0001044,SUP0049,2025-10-12,2025-11-14,2025-11-11,Completed,61824.68
PO0001045,SUP0072,2025-06-18,2025-07-24,2025-07-25,Completed,17621.42
PO0001046,SUP0078,2026-04-09,2026-04-27,2026-04-26,Completed,3872.88
PO0001047,SUP0009,2025-07-15,2025-08-23,2025-08-18,Completed,26216.95
PO0001048,SUP0033,2026-05-15,2026-06-11,2026-06-12,Completed,2885.85
PO0001049,SUP0040,2025-06-29,2025-08-11,,In Progress,7278.38
PO0001050,SUP0027,2025-12-21,2026-01-05,2026-01-07,Completed,9911.32
PO0001051,SUP0069,2025-10-19,2025-11-19,2025-11-16,Completed,1979.04
PO0001052,SUP0030,2025-08-21,2025-09-04,,Pending Approval,140648.41
PO0001053,SUP0051,2025-11-21,2025-12-11,,Cancelled,14384.37
PO0001054,SUP0100,2025-11-07,2025-12-11,2025-12-11,Completed,17460.2
PO0001055,SUP0060,2025-01-09,2025-01-31,,In Progress,9483.23
PO0001056,SUP0068,2026-05-19,2026-06-16,,In Progress,65156.03
PO0001057,SUP0005,2025-03-09,2025-04-10,2025-04-14,Completed,8098.96
PO0001058,SUP0004,2025-04-24,2025-05-13,2025-05-13,Completed,3216.97
PO0001059,SUP0047,2026-02-23,2026-03-26,,In Progress,76398.35
PO0001060,SUP0013,2025-05-28,2025-07-06,2025-07-11,Completed,12025.55
PO0001061,SUP0043,2026-05-01,2026-06-22,2026-06-30,Delayed,883.96
PO0001062,SUP0043,2025-10-13,2025-10-27,2025-10-30,Completed,5942.7
PO0001063,SUP0056,2026-02-27,2026-03-06,,In Progress,30038.24
PO0001064,SUP0045,2025-09-04,2025-09-27,2025-09-30,Completed,88328.84
PO0001065,SUP0079,2026-01-25,2026-02-27,2026-02-24,Completed,13011.42
PO0001066,SUP0067,2025-09-24,2025-10-15,,Pending Approval,47289.64
PO0001067,SUP0051,2026-05-03,2026-05-26,2026-05-27,Completed,3049.62
PO0001068,SUP0027,2025-11-09,2025-11-21,2025-11-26,Completed,12355.47
PO0001069,SUP0035,2025-04-18,2025-04-28,2025-04-26,Completed,46988.89
PO0001070,SUP0076,2025-09-05,2025-10-04,2025-10-04,Completed,7174.29
PO0001071,SUP0079,2025-05-07,2025-05-18,2025-05-21,Completed,1057.45
PO0001072,SUP0023,2025-09-06,2025-10-20,2025-11-01,Completed,2721.0
PO0001073,SUP0100,2025-02-27,2025-03-17,2025-03-17,Completed,6063.72
PO0001074,SUP0096,2026-03-29,2026-05-03,,Pending Approval,7168.4
PO0001075,SUP0004,2026-02-08,2026-02-19,2026-02-19,Completed,5761.64
PO0001076,SUP0035,2025-04-09,2025-05-21,2025-05-18,Completed,17668.13
PO0001077,SUP0038,2026-04-26,2026-05-09,2026-05-10,Completed,634.0
PO0001078,SUP0054,2025-04-09,2025-05-02,2025-04-29,Completed,10962.45
PO0001079,SUP0046,2025-12-18,2026-01-12,,In Progress,8134.09
PO0001080,SUP0069,2025-09-04,2025-09-25,2025-10-06,Delayed,2114.7
PO0001081,SUP0061,2025-07-03,2025-07-08,,Pending Approval,9194.88
PO0001082,SUP0025,2026-05-24,2026-06-04,2026-06-01,Completed,12861.79
PO0001083,SUP0054,2026-01-24,2026-02-27,,Pending Approval,6614.25
PO0001084,SUP0090,2026-01-25,2026-02-14,,In Progress,50493.9
PO0001085,SUP0011,2025-05-13,2025-06-16,2025-07-05,Delayed,3258.36
PO0001086,SUP0028,2026-04-07,2026-05-01,2026-04-29,Completed,4774.77
PO0001087,SUP0016,2025-05-31,2025-06-25,2025-07-10,Delayed,16640.56
PO0001088,SUP0011,2026-04-06,2026-05-09,2026-05-08,Completed,21981.2
PO0001089,SUP0005,2026-02-13,2026-03-09,2026-03-06,Completed,15621.75
PO0001090,SUP0038,2025-12-11,2025-12-29,2025-12-25,Completed,3536.16
PO0001091,SUP0043,2025-09-21,2025-10-25,2025-11-01,Delayed,10700.8
PO0001092,SUP0033,2025-09-17,2025-10-14,2025-10-23,Delayed,19173.13
PO0001093,SUP0066,2026-01-30,2026-02-23,2026-02-20,Completed,22451.6
PO0001094,SUP0025,2026-04-02,2026-05-08,,In Progress,1705.55
PO0001095,SUP0001,2025-06-12,2025-07-14,2025-07-18,Completed,31621.28
PO0001096,SUP0011,2026-05-11,2026-06-17,2026-06-30,Delayed,76065.04
PO0001097,SUP0093,2026-05-11,2026-05-26,,Cancelled,28353.64
PO0001098,SUP0081,2025-11-30,2025-12-25,2025-12-24,Completed,1365.15
