maintenance_id,elevator_id,maintenance_date,maintenance_type,issue_category,issue_description,technician_id,maintenance_status,downtime_hours,repair_cost,parts_cost,total_cost
MNT0024484,ELV00310,2026-06-29,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH061,Scheduled,2.1,84.69,1438.76,1523.45
MNT0007001,ELV00093,2025-10-13,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH001,Completed,1.5,901.89,619.7,1521.59
MNT0020846,ELV00498,2025-09-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH020,Completed,1.7,50.0,559.97,609.97
MNT0007243,ELV00144,2026-02-23,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH050,Completed,3.1,704.08,798.28,1502.36
MNT0021743,ELV00039,2025-09-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH018,Completed,0.5,61.38,844.66,906.04
MNT0001814,ELV00477,2025-05-07,Emergency,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for emergency action.,TCH035,Completed,1.7,265.82,208.37,474.19
MNT0021159,ELV00324,2025-04-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH014,Completed,1.2,83.51,434.64,518.15
MNT0005466,ELV00291,2025-03-07,Emergency,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for emergency action.,TCH056,Completed,1.3,389.4,975.96,1365.36
MNT0027930,ELV00457,2025-03-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH033,Completed,1.8,155.54,1500.8,1656.34
MNT0023292,ELV00028,2025-01-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,0.9,81.44,401.82,483.26
MNT0022514,ELV00295,2025-07-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH087,Completed,0.9,64.33,741.61,805.94
MNT0002574,ELV00350,2025-12-03,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH098,Completed,6.2,513.16,362.34,875.5
MNT0005125,ELV00352,2026-04-21,Emergency,Speed Regulation Fault,Speed Regulation Fault detected via IoT alarm (E808); technician dispatched for emergency action.,TCH025,Completed,4.2,425.71,707.67,1133.38
MNT0008983,ELV00232,2026-03-28,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH034,Completed,1.5,1258.73,146.47,1405.2
MNT0014579,ELV00317,2025-09-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH100,Completed,0.5,108.44,373.14,481.58
MNT0003844,ELV00143,2026-06-20,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH077,Completed,2.0,1384.48,85.34,1469.82
MNT0025325,ELV00151,2025-08-18,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH054,Completed,1.5,50.0,5195.76,5245.76
MNT0006462,ELV00420,2025-06-22,Emergency,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for emergency action.,TCH036,Completed,5.6,511.04,145.49,656.53
MNT0020360,ELV00183,2025-06-30,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH085,Completed,1.2,67.9,1149.9,1217.8
MNT0023516,ELV00085,2026-03-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH008,Completed,1.6,50.0,1570.51,1620.51
MNT0017068,ELV00251,2025-12-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH022,Completed,2.0,86.31,0.0,86.31
MNT0023153,ELV00278,2025-07-05,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH085,Completed,1.7,67.1,1244.55,1311.65
MNT0020629,ELV00033,2025-10-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH039,Completed,2.3,53.24,176.27,229.51
MNT0004876,ELV00008,2025-12-23,Corrective,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for corrective action.,TCH018,Completed,0.5,483.92,0.0,483.92
MNT0010918,ELV00071,2026-03-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH038,Completed,0.5,50.0,975.56,1025.56
MNT0020864,ELV00296,2025-12-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH004,Completed,1.5,78.8,1009.27,1088.07
MNT0021688,ELV00043,2025-03-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH041,Completed,1.2,94.72,552.41,647.13
MNT0027448,ELV00116,2025-02-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH006,Completed,2.2,71.04,0.0,71.04
MNT0004492,ELV00232,2025-04-12,Emergency,Speed Regulation Fault,Speed Regulation Fault detected via IoT alarm (E808); technician dispatched for emergency action.,TCH091,Completed,0.6,947.79,670.65,1618.44
MNT0002481,ELV00083,2026-06-22,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH075,In Progress,1.4,431.62,846.52,1278.14
MNT0007173,ELV00366,2026-06-09,Corrective,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for corrective action.,TCH040,Completed,1.4,80.0,1524.89,1604.89
MNT0001372,ELV00025,2025-12-11,Corrective,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for corrective action.,TCH026,Completed,3.8,552.26,586.06,1138.32
MNT0010576,ELV00381,2026-01-08,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH039,Completed,2.6,450.58,1314.62,1765.2
MNT0004891,ELV00410,2025-02-24,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH025,Completed,0.6,729.2,766.2,1495.4
MNT0017849,ELV00395,2026-05-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH091,Completed,1.1,50.0,546.83,596.83
MNT0017443,ELV00189,2025-05-04,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH061,Completed,0.7,76.72,1400.28,1477.0
MNT0005366,ELV00468,2026-03-24,Emergency,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for emergency action.,TCH036,Completed,0.9,488.86,0.0,488.86
MNT0006517,ELV00437,2026-05-09,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH030,Completed,1.2,407.12,2833.94,3241.06
MNT0016955,ELV00246,2025-02-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH040,Completed,0.7,67.98,226.68,294.66
MNT0023769,ELV00032,2025-03-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH037,Completed,1.9,78.7,5551.84,5630.54
MNT0002543,ELV00116,2025-05-09,Emergency,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for emergency action.,TCH072,Completed,2.2,199.54,0.0,199.54
MNT0007002,ELV00371,2025-10-18,Emergency,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for emergency action.,TCH032,In Progress,3.9,1145.32,332.01,1477.33
MNT0004329,ELV00118,2025-01-16,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH039,Completed,1.9,826.62,0.0,826.62
MNT0015781,ELV00481,2026-05-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH037,Completed,1.6,100.91,532.76,633.67
MNT0008582,ELV00255,2025-04-26,Emergency,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for emergency action.,TCH036,Completed,6.2,1438.48,2420.16,3858.64
MNT0022360,ELV00122,2025-03-18,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH025,Completed,0.5,84.04,546.56,630.6
MNT0003133,ELV00500,2025-10-07,Corrective,Speed Regulation Fault,Speed Regulation Fault detected via IoT alarm (E808); technician dispatched for corrective action.,TCH088,Completed,0.5,80.0,192.61,272.61
MNT0000746,ELV00050,2025-08-26,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH044,Completed,0.6,247.52,0.0,247.52
MNT0010421,ELV00129,2025-07-02,Emergency,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for emergency action.,TCH008,Completed,1.7,1044.44,667.43,1711.87
MNT0019130,ELV00474,2026-01-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH088,Completed,0.7,106.76,1591.29,1698.05
MNT0004987,ELV00357,2025-01-02,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH087,Completed,1.3,556.07,572.0,1128.07
MNT0015327,ELV00279,2026-04-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH059,Completed,2.2,72.15,319.53,391.68
MNT0022390,ELV00139,2025-07-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH032,Completed,1.9,102.38,416.3,518.68
MNT0026385,ELV00042,2025-09-05,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH007,Completed,2.2,69.22,963.89,1033.11
MNT0022540,ELV00201,2025-04-29,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,2.0,126.14,1457.75,1583.89
MNT0001576,ELV00202,2025-07-27,Corrective,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for corrective action.,TCH027,In Progress,0.5,455.75,905.42,1361.17
MNT0004915,ELV00452,2025-06-03,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH049,Completed,0.8,575.8,1863.33,2439.13
MNT0027213,ELV00070,2025-12-21,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH100,Completed,1.3,63.72,0.0,63.72
MNT0029851,ELV00408,2025-01-18,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH026,Completed,1.0,88.3,259.74,348.04
MNT0017659,ELV00263,2026-02-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH002,Completed,1.2,61.72,75.74,137.46
MNT0018091,ELV00016,2025-04-04,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH040,Completed,2.6,65.95,10639.26,10705.21
MNT0029669,ELV00489,2025-11-01,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH070,Completed,3.1,97.06,1102.65,1199.71
MNT0026932,ELV00128,2026-04-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,0.7,70.34,1146.1,1216.44
MNT0026409,ELV00257,2025-08-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH091,Completed,2.6,50.0,1431.7,1481.7
MNT0003622,ELV00312,2025-06-07,Emergency,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for emergency action.,TCH001,Completed,1.1,699.12,603.24,1302.36
MNT0021670,ELV00054,2026-02-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH078,Completed,1.4,65.52,829.32,894.84
MNT0018734,ELV00160,2026-01-02,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH010,Completed,1.2,50.0,206.71,256.71
MNT0024660,ELV00455,2026-04-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH097,Scheduled,1.2,178.36,2948.7,3127.06
MNT0023899,ELV00365,2025-09-30,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH020,Scheduled,1.1,53.76,3001.83,3055.59
MNT0013907,ELV00267,2025-08-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH087,Completed,2.4,103.43,443.24,546.67
MNT0007902,ELV00102,2025-04-02,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH030,Completed,1.8,262.74,607.6,870.34
MNT0021115,ELV00269,2026-02-18,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH033,Completed,1.5,106.35,3542.21,3648.56
MNT0015111,ELV00225,2026-06-10,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH064,Completed,2.8,142.78,1014.95,1157.73
MNT0026270,ELV00101,2025-05-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH088,Completed,0.9,82.98,2278.46,2361.44
MNT0007042,ELV00199,2026-02-06,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH056,Completed,1.5,864.43,223.52,1087.95
MNT0028805,ELV00123,2025-06-19,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH030,Completed,1.7,107.68,165.04,272.72
MNT0028121,ELV00437,2026-05-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH038,Completed,2.4,51.83,1637.93,1689.76
MNT0024528,ELV00288,2025-10-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH083,Completed,2.5,103.28,1600.93,1704.21
MNT0022807,ELV00309,2025-01-24,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH097,Completed,1.4,50.0,942.75,992.75
MNT0005665,ELV00074,2025-03-31,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH068,Completed,14.5,512.32,517.78,1030.1
MNT0016031,ELV00079,2025-04-20,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,1.8,82.61,476.18,558.79
MNT0016082,ELV00239,2025-08-07,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH072,Completed,1.3,98.91,793.93,892.84
MNT0020748,ELV00086,2026-05-15,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH002,Completed,3.0,93.79,1213.57,1307.36
MNT0022430,ELV00064,2025-05-21,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH092,Completed,1.5,78.28,583.62,661.9
MNT0014385,ELV00494,2026-03-01,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH092,Scheduled,1.6,59.75,148.79,208.54
MNT0022130,ELV00443,2026-04-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH075,Completed,1.9,71.93,285.49,357.42
MNT0006214,ELV00373,2026-03-17,Emergency,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for emergency action.,TCH038,Completed,0.7,323.09,249.86,572.95
MNT0018639,ELV00352,2025-02-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH068,Completed,0.5,50.0,1795.43,1845.43
MNT0008491,ELV00251,2025-08-22,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH022,Completed,0.6,970.94,1839.39,2810.33
MNT0022945,ELV00442,2026-06-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH025,Completed,0.9,56.13,161.76,217.89
MNT0001670,ELV00366,2025-02-06,Emergency,Speed Regulation Fault,Speed Regulation Fault detected via IoT alarm (E808); technician dispatched for emergency action.,TCH070,Scheduled,3.2,1132.59,114.13,1246.72
MNT0003095,ELV00285,2026-02-18,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH088,Completed,1.3,275.59,121.68,397.27
MNT0026380,ELV00262,2026-01-24,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH051,Completed,1.7,50.0,948.26,998.26
MNT0017834,ELV00001,2025-11-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH069,Completed,1.4,50.0,236.49,286.49
MNT0014727,ELV00467,2025-09-04,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH067,Completed,1.2,52.88,69.91,122.79
MNT0017859,ELV00184,2025-08-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH073,Completed,2.1,158.49,1106.39,1264.88
MNT0013497,ELV00152,2025-12-28,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH027,Completed,0.9,50.0,593.73,643.73
MNT0012210,ELV00488,2025-11-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH020,Completed,2.8,117.47,495.88,613.35
MNT0002145,ELV00326,2025-12-12,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH084,Completed,0.6,319.08,364.16,683.24
MNT0005031,ELV00400,2026-01-13,Emergency,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for emergency action.,TCH007,Completed,1.4,370.24,209.28,579.52
MNT0019157,ELV00118,2026-05-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH049,Scheduled,1.9,86.59,1222.78,1309.37
MNT0010646,ELV00081,2025-02-19,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH039,In Progress,1.1,446.87,1702.0,2148.87
MNT0017956,ELV00407,2026-04-30,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH003,Completed,1.1,113.32,0.0,113.32
MNT0015153,ELV00045,2025-01-15,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH061,Completed,2.1,68.48,9998.73,10067.21
MNT0000703,ELV00235,2025-09-29,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH030,Completed,0.8,644.46,120.47,764.93
MNT0026811,ELV00118,2025-04-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH039,Completed,1.7,79.48,1211.65,1291.13
MNT0021361,ELV00026,2025-07-31,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH027,Completed,1.9,112.71,0.0,112.71
MNT0019209,ELV00271,2025-03-12,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH046,Completed,2.2,103.91,2266.81,2370.72
MNT0018476,ELV00451,2025-07-27,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,1.5,109.31,1509.3,1618.61
MNT0008927,ELV00084,2026-04-13,Emergency,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for emergency action.,TCH044,Completed,1.1,318.17,950.39,1268.56
MNT0015864,ELV00498,2026-04-27,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH020,Completed,2.4,71.96,1522.77,1594.73
MNT0000295,ELV00030,2025-10-11,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH041,Completed,3.0,715.42,351.26,1066.68
MNT0012176,ELV00053,2025-07-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH006,Completed,0.7,68.43,0.0,68.43
MNT0009561,ELV00426,2025-04-17,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH041,Completed,2.7,648.74,0.0,648.74
MNT0011824,ELV00413,2026-01-24,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH006,Completed,2.4,50.0,2494.38,2544.38
MNT0029406,ELV00014,2025-09-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH040,Scheduled,1.0,50.0,1400.94,1450.94
MNT0000445,ELV00057,2026-05-20,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH074,Completed,0.7,302.24,941.15,1243.39
MNT0003292,ELV00390,2025-09-21,Corrective,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for corrective action.,TCH097,Completed,0.5,190.64,428.42,619.06
MNT0028328,ELV00369,2026-02-02,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH079,Completed,1.6,66.07,0.0,66.07
MNT0020442,ELV00353,2026-02-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH017,Completed,1.9,57.61,462.45,520.06
MNT0003996,ELV00413,2026-04-01,Corrective,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for corrective action.,TCH071,Completed,1.6,196.77,117.34,314.11
MNT0005136,ELV00077,2025-08-23,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH009,Completed,1.0,153.98,0.0,153.98
MNT0023007,ELV00159,2025-10-27,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH088,Completed,1.6,50.0,1885.72,1935.72
MNT0011187,ELV00386,2025-09-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH058,Completed,1.9,119.67,0.0,119.67
MNT0004186,ELV00489,2025-04-27,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH011,Completed,3.7,259.38,932.89,1192.27
MNT0001498,ELV00176,2025-09-19,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH045,Completed,0.5,172.81,0.0,172.81
MNT0024314,ELV00459,2026-03-28,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH026,Completed,1.8,55.25,0.0,55.25
MNT0024561,ELV00486,2025-08-13,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH076,Completed,1.0,50.0,0.0,50.0
MNT0023430,ELV00012,2026-02-09,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH099,Completed,1.4,122.14,1448.72,1570.86
MNT0014324,ELV00277,2025-10-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH002,Completed,2.1,59.28,906.12,965.4
MNT0016512,ELV00338,2025-12-29,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH068,Scheduled,1.2,69.9,200.92,270.82
MNT0002708,ELV00476,2025-05-18,Corrective,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for corrective action.,TCH008,Completed,1.3,243.02,0.0,243.02
MNT0026184,ELV00393,2025-12-05,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH007,Completed,1.8,50.0,1123.4,1173.4
MNT0001655,ELV00363,2025-10-17,Corrective,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for corrective action.,TCH007,Completed,2.2,487.27,47.72,534.99
MNT0013419,ELV00355,2025-11-10,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH091,Completed,1.0,84.12,913.69,997.81
MNT0017009,ELV00196,2025-01-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH023,Completed,1.0,83.67,1006.34,1090.01
MNT0004110,ELV00463,2025-01-05,Emergency,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for emergency action.,TCH039,Completed,2.1,523.86,1750.19,2274.05
MNT0004992,ELV00128,2025-05-07,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH008,Completed,0.5,244.55,430.95,675.5
MNT0001615,ELV00402,2025-04-21,Corrective,Load Sensor Anomaly,Load Sensor Anomaly detected via IoT alarm (E202); technician dispatched for corrective action.,TCH034,Completed,1.4,262.34,1281.54,1543.88
MNT0006563,ELV00026,2025-06-06,Corrective,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for corrective action.,TCH077,Completed,3.1,187.02,123.63,310.65
MNT0023945,ELV00197,2026-03-07,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH060,Completed,1.2,84.34,9508.45,9592.79
MNT0007732,ELV00307,2025-12-13,Emergency,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for emergency action.,TCH005,Completed,2.2,737.34,372.36,1109.7
MNT0012984,ELV00226,2025-04-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH041,Completed,0.9,50.0,1412.88,1462.88
MNT0018854,ELV00139,2025-01-05,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH001,Completed,0.9,76.98,707.56,784.54
MNT0023699,ELV00352,2025-02-24,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH025,Completed,1.3,50.0,408.78,458.78
MNT0011425,ELV00352,2026-01-17,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,1.3,73.73,369.87,443.6
MNT0009914,ELV00139,2026-06-15,Corrective,Abnormal Vibration,Abnormal Vibration detected via IoT alarm (E404); technician dispatched for corrective action.,TCH079,Completed,2.4,187.55,0.0,187.55
MNT0010453,ELV00420,2025-05-10,Corrective,Brake System Fault,Brake System Fault detected via IoT alarm (E606); technician dispatched for corrective action.,TCH041,Completed,0.7,263.39,2079.89,2343.28
MNT0002353,ELV00091,2025-01-22,Emergency,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for emergency action.,TCH097,Completed,2.0,468.16,1308.43,1776.59
MNT0001632,ELV00323,2026-04-30,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH075,Completed,1.8,622.57,608.95,1231.52
MNT0014628,ELV00197,2026-02-11,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH009,Completed,1.9,76.02,707.77,783.79
MNT0003469,ELV00296,2026-02-26,Corrective,Electrical Power Fault,Electrical Power Fault detected via IoT alarm (E505); technician dispatched for corrective action.,TCH004,Completed,1.7,448.96,2465.25,2914.21
MNT0003045,ELV00185,2025-03-28,Corrective,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for corrective action.,TCH045,Completed,1.4,80.0,4627.57,4707.57
MNT0022814,ELV00353,2026-04-22,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH010,Completed,1.1,78.15,938.3,1016.45
MNT0010691,ELV00376,2025-10-06,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH052,Completed,2.0,730.08,1617.41,2347.49
MNT0012890,ELV00372,2026-04-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH097,Completed,1.0,108.62,0.0,108.62
MNT0016178,ELV00383,2025-07-25,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH005,Completed,1.1,192.07,57.64,249.71
MNT0022383,ELV00122,2026-01-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH056,Completed,1.1,50.0,2560.23,2610.23
